iddesa,binding_constraint,tier,lever,note,magnitude,severity
7404012005,z_B3,Tier 2,,"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.9874427823429638,0.9874427823429638
7404012009,z_B3,Tier 2,,"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.9874427823429638,0.9874427823429638
7404012010,z_B3,Tier 2,,"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.6972251745582301,0.6972251745582301
7404013002,z_B3,Tier 2,,"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.37828146420285336,0.37828146420285336
7404030016,z_B3,Tier 2,,,-0.6972251745582301,0.6972251745582301
7404031004,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7404060008,z_B3,Tier 2,,,-0.6972251745582301,0.6972251745582301
7404070013,z_B2,Tier 1,Perluasan akses perbankan pemerintah dan koperasi simpan pinjam,,-0.27166923980560326,0.27166923980560326
7404070014,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7404070015,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),,-0.29213101705915423,0.29213101705915423
7404070017,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),,-0.6267794049360415,0.6267794049360415
7404070028,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),,-0.471292786700904,0.471292786700904
7404071005,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),,-1.5683331842262402,1.5683331842262402
7404071006,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7404071012,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7404071019,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),,-1.360640949434238,1.360640949434238
7404072001,z_B3,Tier 2,,,-0.27772354646700254,0.27772354646700254
7404072006,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),,-0.8135548907268579,0.8135548907268579
7404072007,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),,-1.360640949434238,1.360640949434238
7405010001,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),,-0.29213101705915423,0.29213101705915423
7405010002,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),,-0.29213101705915423,0.29213101705915423
7405010007,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7405010008,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7405010009,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7405010014,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),,-0.29213101705915423,0.29213101705915423
7405010015,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),,-0.5457930298744611,0.5457930298744611
7405010016,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7405010017,z_B3,Tier 2,,"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.9874427823429638,0.9874427823429638
7405010038,z_B3,Tier 2,,"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.9874427823429638,0.9874427823429638
7405010040,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7405010041,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7405010042,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.3381007950824587,0.3381007950824587
