iddesa,quadrant
7408060002,3.0
7408060004,3.0
7408060006,3.0
7408060007,3.0
7408060015,3.0
7408060018,3.0
7408060019,1.0
7408061001,1.0
7408061002,1.0
7408061003,3.0
7408061004,1.0
7408061005,3.0
7408061006,1.0
7408061007,1.0
7408061008,3.0
7408062001,1.0
7408062003,3.0
7408062004,3.0
7409100009,1.0
7409100011,1.0
7409100013,1.0
7409100014,1.0
7409100015,1.0
7409100016,1.0
7409100018,1.0
7409100019,1.0
7409100020,1.0
7409100022,1.0
7409100023,1.0
7409101001,1.0
7409101002,3.0
7409101003,3.0
7409101004,3.0
7409101005,3.0
7409101006,3.0
7409101007,1.0
7409101008,1.0
7409101010,1.0
7409101011,1.0
7409110011,1.0
7409110012,3.0
7409110018,3.0
7409120010,1.0
7409120012,1.0
7409120017,1.0
7409120018,1.0
7409120019,1.0
7409120020,3.0
7409120021,1.0
7409120022,2.0
7409121001,1.0
7409121002,1.0
7409121003,1.0
7409121004,1.0
7409121005,1.0
7409121007,1.0
7409121008,1.0
7409121009,1.0
7409121010,1.0
7409121011,1.0
7409121012,1.0
7409121013,1.0
7409121015,1.0
7409122003,1.0
7409122004,1.0
7409122007,1.0
7409122008,1.0
7409122009,1.0
7410010007,3.0
7410010008,3.0
7410010009,4.0
7410010030,2.0
7410010032,4.0
7410011001,4.0
7410011002,2.0
7410011003,4.0
7410011004,4.0
7410011005,4.0
7410011006,2.0
7410011009,4.0
7410011013,4.0
7410011014,4.0
7410011015,4.0
7410020001,1.0
7410020004,1.0
7410020005,3.0
7410020006,4.0
7410020010,3.0
7410030031,1.0
7410030032,1.0
7410030033,2.0
7410030034,2.0
7410030035,3.0
7410030036,3.0
7410030048,3.0
7410030054,3.0
7410030055,4.0
7410030056,3.0
7410030057,3.0
7410031004,3.0
7410031005,3.0
7410032003,1.0
7410032004,3.0
7410032005,3.0
7410032006,4.0
7410040001,3.0
7410040002,1.0
7410040003,4.0
7410040004,3.0
7410040005,3.0
7410040006,3.0
7410040007,1.0
7410040008,3.0
7410040009,3.0
7410050008,4.0
7410050009,3.0
7410050010,3.0
7410050011,3.0
7410050013,1.0
7410050051,3.0
7410050055,3.0
7410051001,3.0
7410051002,1.0
7410051004,4.0
7410051005,3.0
7410051006,3.0
7410051007,3.0
7410051008,3.0
7410051009,4.0
7410051012,2.0
7410051013,3.0
7410051022,2.0
7410052014,3.0
7410052015,3.0
7410052016,3.0
7410060003,4.0
7410060004,4.0
7410060005,4.0
7410060006,3.0
7410060007,3.0
7410060010,4.0
7410060011,4.0
7410060012,2.0
7410070003,1.0
7410070005,1.0
7410070006,3.0
7410070007,1.0
7410070008,1.0
7410070009,1.0
7410070018,3.0
7410070019,3.0
7410070020,1.0
7410070023,1.0
7410070029,1.0
7410071001,3.0
7410071003,3.0
7410071004,3.0
7410071005,1.0
7410071007,4.0
7410071008,3.0
7410071009,3.0
7410071010,3.0
7410071011,1.0
7411010001,1.0
7411010002,3.0
7411010003,1.0
7411010004,1.0
7411010005,1.0
7411010006,3.0
7411010007,3.0
7411010008,1.0
7411010009,3.0
7411010010,1.0
7411010011,1.0
7411020001,1.0
7411020002,3.0
7411020003,3.0
7411020004,3.0
7411020005,3.0
7411020006,3.0
7411020007,3.0
7411020008,3.0
7411020009,3.0
7411020010,2.0
7411020011,1.0
7411020012,1.0
7411020013,1.0
7411020014,1.0
7411020015,1.0
7411030001,1.0
7411030002,1.0
7411030003,1.0
7411030004,1.0
7411030005,1.0
7411030006,1.0
7411030007,2.0
7411030008,2.0
7411030009,1.0
7411030010,1.0
7411030011,2.0
7411030012,1.0
7411040001,3.0
7411040002,3.0
7411040003,1.0
7411040004,1.0
7411040005,1.0
7411040006,2.0
7411040007,4.0
7411040008,2.0
7411040009,1.0
7411040010,1.0
7411040011,1.0
7411040012,1.0
7411050001,1.0
7411050002,2.0
7411050003,1.0
7411050004,1.0
7411050005,1.0
7411050006,1.0
7411050007,3.0
7411050008,1.0
7411050009,2.0
7411050010,1.0
7411060001,1.0
7411060002,3.0
7411060003,2.0
7411060004,3.0
7411060005,1.0
7411060006,1.0
7411060007,1.0
7411060008,2.0
7411060009,1.0
7411070001,1.0
7411070002,1.0
7411070003,3.0
7411070004,1.0
7411070005,1.0
7411070006,2.0
7411070008,2.0
7411070009,3.0
7411070010,2.0
7411070011,3.0
7411070012,3.0
7411070013,3.0
7411070014,1.0
7411070015,1.0
7411070016,3.0
7411080001,3.0
7411080002,3.0
7411080003,3.0
7411080004,3.0
7411080005,3.0
7411090001,1.0
7411090002,1.0
7411090003,1.0
7411090004,1.0
7411090005,1.0
7411090006,1.0
7411090008,1.0
7411090009,1.0
7411090010,1.0
7411100002,1.0
7411100003,1.0
7411100004,3.0
7411100005,3.0
7411100006,1.0
7411100007,3.0
7411100008,1.0
7411100009,3.0
7411100010,1.0
7411100012,1.0
7411110001,1.0
7411110002,1.0
7411110003,1.0
7411110004,1.0
7411110005,3.0
7411110006,3.0
7411110007,3.0
7411110008,3.0
7411110009,1.0
7411110010,1.0
7411120001,3.0
7411120002,1.0
7411120003,3.0
7411120004,1.0
7411120005,1.0
7411120006,1.0
7411120007,1.0
7411120010,1.0
7412010004,4.0
7412010005,3.0
7412010006,3.0
7412010007,3.0
7412010008,1.0
7412010009,3.0
7412010010,1.0
7412010011,1.0
7412010014,1.0
7412020004,1.0
7412020005,3.0
7412020009,1.0
7412020011,1.0
7412020012,1.0
7412030003,1.0
7412030004,3.0
7412030005,1.0
7412030006,1.0
7412040005,1.0
7412040006,1.0
7412040007,3.0
7412040008,1.0
7412040009,1.0
7412040014,1.0
7412040016,1.0
7412040018,1.0
7412040019,1.0
7412040020,1.0
7412040021,1.0
7412050003,1.0
7412050004,1.0
7412050007,3.0
